lemma	sentence1	sentence2	label	answer	prompt
Dommheet	wann d'Dommheet géif wéidoen, da géif deng Kolleegin de ganzen Dag jäizen! 	d'Frechheet ass dacks e Beweis vun Dommheet 	identical	richteg	"Ass d'Bedeitung vun 'Dommheet' an deenen zwee Sätz identesch? saz1: ""wann d'Dommheet géif wéidoen, da géif deng Kolleegin de ganzen Dag jäizen! "" saz2: ""d'Frechheet ass dacks e Beweis vun Dommheet """
verdamen	wann een sech en Hond uschaaft, ass een derzou verdaamt , all Dag mat em erauszegoen 	duerch eng seele Krankheet ass meng Boma derzou verdaamt , am Rollstull ze sëtzen 	identical	richteg	"Ass d'Bedeitung vun 'verdamen' an deenen zwee Sätz identesch? saz1: ""wann een sech en Hond uschaaft, ass een derzou verdaamt , all Dag mat em erauszegoen "" saz2: ""duerch eng seele Krankheet ass meng Boma derzou verdaamt , am Rollstull ze sëtzen """
Gelëmps	du wäerts dach net an deem ale Gelëmps bei d'Leit goen! 	raum däi Gelëmps ewech, amplaz et um Buedem trëllen ze loossen! 	different	falsch	"Ass d'Bedeitung vun 'Gelëmps' an deenen zwee Sätz identesch? saz1: ""du wäerts dach net an deem ale Gelëmps bei d'Leit goen! "" saz2: ""raum däi Gelëmps ewech, amplaz et um Buedem trëllen ze loossen! """
enk	an deem neie Kino sëtzt een e bëssen enk 	ech trëppele gären duerch déi enk Gaasse vun der Alstad 	identical	richteg	"Ass d'Bedeitung vun 'enk' an deenen zwee Sätz identesch? saz1: ""an deem neie Kino sëtzt een e bëssen enk "" saz2: ""ech trëppele gären duerch déi enk Gaasse vun der Alstad """
Magasinn	um Radio kënnt neierdéngs sonndes moies e Magasinn , dee sech mat Literatur beschäftegt 	hues de schonn deen neie politesche Magasinn op der Tëlee gekuckt? 	identical	richteg	"Ass d'Bedeitung vun 'Magasinn' an deenen zwee Sätz identesch? saz1: ""um Radio kënnt neierdéngs sonndes moies e Magasinn , dee sech mat Literatur beschäftegt "" saz2: ""hues de schonn deen neie politesche Magasinn op der Tëlee gekuckt? """
ausdeenen	Metall deent sech duerch d'Hëtzt aus 	de Projet soll op all Schoulen ausgedeent ginn 	different	falsch	"Ass d'Bedeitung vun 'ausdeenen' an deenen zwee Sätz identesch? saz1: ""Metall deent sech duerch d'Hëtzt aus "" saz2: ""de Projet soll op all Schoulen ausgedeent ginn """
Goût	ech hu kee Goût , well ech de Schnapp hunn 	d'Zooss huet en excellente Goût 	different	falsch	"Ass d'Bedeitung vun 'Goût' an deenen zwee Sätz identesch? saz1: ""ech hu kee Goût , well ech de Schnapp hunn "" saz2: ""d'Zooss huet en excellente Goût """
Zäit	ech sinn de Marathon an enger gudder Zäit gelaf 	ech hunn eng Zäit (laang) am Ausland gewunnt 	different	falsch	"Ass d'Bedeitung vun 'Zäit' an deenen zwee Sätz identesch? saz1: ""ech sinn de Marathon an enger gudder Zäit gelaf "" saz2: ""ech hunn eng Zäit (laang) am Ausland gewunnt """
decken	ech weess net, ob d'Assurance dee Schued do deckt 	de Scheck konnt net ageléist ginn, en ass net gedeckt 	identical	richteg	"Ass d'Bedeitung vun 'decken' an deenen zwee Sätz identesch? saz1: ""ech weess net, ob d'Assurance dee Schued do deckt "" saz2: ""de Scheck konnt net ageléist ginn, en ass net gedeckt """
Uebst	wéinst deem kale Fréijoer gëtt et dëst Joer net vill Uebst 	fir Dessert iessen ech am léifsten Uebst 	identical	richteg	"Ass d'Bedeitung vun 'Uebst' an deenen zwee Sätz identesch? saz1: ""wéinst deem kale Fréijoer gëtt et dëst Joer net vill Uebst "" saz2: ""fir Dessert iessen ech am léifsten Uebst """
Saint Laurent	de Wënzer huet zwee Saint-Laurenten a sengem Sortiment 	haut hu mer de ganzen Dag Saint Laurent gelies 	different	falsch	"Ass d'Bedeitung vun 'Saint Laurent' an deenen zwee Sätz identesch? saz1: ""de Wënzer huet zwee Saint-Laurenten a sengem Sortiment "" saz2: ""haut hu mer de ganzen Dag Saint Laurent gelies """
kréckelen	den hëlzene Buedem huet gekréckelt 	ech verstinn dech net gutt, well et an der Leitung kréckelt 	identical	richteg	"Ass d'Bedeitung vun 'kréckelen' an deenen zwee Sätz identesch? saz1: ""den hëlzene Buedem huet gekréckelt "" saz2: ""ech verstinn dech net gutt, well et an der Leitung kréckelt """
schläifen	eis Kaz schläift hir Krallen nawell gär un eiser Fotell 	iwwerem Schaffen huet de Metzler heiansdo säi Messer geschlaff 	identical	richteg	"Ass d'Bedeitung vun 'schläifen' an deenen zwee Sätz identesch? saz1: ""eis Kaz schläift hir Krallen nawell gär un eiser Fotell "" saz2: ""iwwerem Schaffen huet de Metzler heiansdo säi Messer geschlaff """
